code,description
G131,Other systemic atrophy primarily affecting central nervous system in neoplastic disease
G132,Systemic atrophy primarily affecting the central nervous system in myxedema
G138,Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere
G14,Postpolio syndrome
G20,Parkinson's disease
G210,Malignant neuroleptic syndrome
G211,Neuroleptic induced parkinsonism
G212,Secondary parkinsonism due to other external agents
G213,Postencephalitic parkinsonism
G214,Vascular parkinsonism
G218,Other secondary parkinsonism
G219,"Secondary parkinsonism, unspecified"
G230,Hallervorden-Spatz disease
G231,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]
G232,Striatonigral degeneration
G238,Other specified degenerative diseases of basal ganglia
G239,"Degenerative disease of basal ganglia, unspecified"
G240,Drug induced subacute dyskinesia
G241,Genetic torsion dystonia
G242,Idiopathic nonfamilial dystonia
G243,Spasmodic torticollis
G244,Idiopathic orofacial dystonia
G245,Blepharospasm
G248,Other dystonia
G249,"Dystonia, unspecified"
G250,Essential tremor
G251,Drug-induced tremor
G252,Other specified forms of tremor
G253,Myoclonus
G254,Drug-induced chorea
G255,Other chorea
G256,Drug induced tics
G257,"Drug induced movement disorder, unspecified"
G258,Restless legs syndrome
G259,"Extrapyramidal and movement disorder, unspecified"
G26,Extrapyramidal and movement disorders in diseases classified elsewhere
G300,Alzheimer's disease with early onset
G301,Alzheimer's disease with late onset
G308,Other Alzheimer's disease
G309,"Alzheimer's disease, unspecified"
G310,Pick's disease
G311,"Senile degeneration of brain, not elsewhere classified"
G312,Degeneration of nervous system due to alcohol
G318,Alpers disease
G319,"Degenerative disease of nervous system, unspecified"
G320,Subacute combined degeneration of spinal cord in diseases classified elsewhere
G328,Cerebellar ataxia in diseases classified elsewhere
G35,Multiple sclerosis
G360,Neuromyelitis optica [Devic]
G361,Acute and subacute hemorrhagic leukoencephalitis [Hurst]
G368,Other specified acute disseminated demyelination
G369,"Acute disseminated demyelination, unspecified"
G370,Diffuse sclerosis of central nervous system
G371,Central demyelination of corpus callosum
G372,Central pontine myelinolysis
G373,Acute transverse myelitis in demyelinating disease of central nervous system
G374,Subacute necrotizing myelitis of central nervous system
G375,Concentric sclerosis [Balo] of central nervous system
G378,Other specified demyelinating diseases of central nervous system
G379,"Demyelinating disease of central nervous system, unspecified"
G400,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, with status epilepticus"
G401,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, with status epilepticus"
G402,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, with status epilepticus"
G403,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable, with status epilepticus"
G40A,"Absence epileptic syndrome, not intractable, with status epilepticus"
G40B,"Juvenile myoclonic epilepsy, not intractable, with status epilepticus"
G404,"Other generalized epilepsy and epileptic syndromes, not intractable, with status epilepticus"
G405,"Epileptic seizures related to external causes, not intractable, with status epilepticus"
G408,"Other epilepsy, not intractable, with status epilepticus"
G409,"Epilepsy, unspecified, not intractable, with status epilepticus"
G430,"Migraine without aura, not intractable, with status migrainosus"
G431,"Migraine with aura, not intractable, with status migrainosus"
G434,"Hemiplegic migraine, not intractable, with status migrainosus"
G435,"Persistent migraine aura without cerebral infarction, not intractable, with status migrainosus"
G436,"Persistent migraine aura with cerebral infarction, not intractable, with status migrainosus"
G437,"Chronic migraine without aura, not intractable, with status migrainosus"
G43A,"Cyclical vomiting, in migraine, not intractable"
G43B,"Ophthalmoplegic migraine, not intractable"
G43C,"Periodic headache syndromes in child or adult, not intractable"
G43D,"Abdominal migraine, not intractable"
G438,"Other migraine, not intractable, with status migrainosus"
G439,"Migraine, unspecified, not intractable, with status migrainosus"
G440,"Cluster headache syndrome, unspecified, intractable"
G441,"Vascular headache, not elsewhere classified"
G442,"Tension-type headache, unspecified, intractable"
G443,"Post-traumatic headache, unspecified, intractable"
G444,"Drug-induced headache, not elsewhere classified, not intractable"
G445,Hemicrania continua
G448,Hypnic headache
G450,Vertebro-basilar artery syndrome
G451,Carotid artery syndrome (hemispheric)
G452,Multiple and bilateral precerebral artery syndromes
G453,Amaurosis fugax
G454,Transient global amnesia
G458,Other transient cerebral ischemic attacks and related syndromes
G459,"Transient cerebral ischemic attack, unspecified"
G460,Middle cerebral artery syndrome
G461,Anterior cerebral artery syndrome
G462,Posterior cerebral artery syndrome
G463,Brain stem stroke syndrome
G464,Cerebellar stroke syndrome
G465,Pure motor lacunar syndrome
G466,Pure sensory lacunar syndrome
G467,Other lacunar syndromes
G468,Other vascular syndromes of brain in cerebrovascular diseases
G470,"Insomnia, unspecified"
G471,"Hypersomnia, unspecified"
G472,"Circadian rhythm sleep disorder, unspecified type"
G473,"Sleep apnea, unspecified"
G474,Narcolepsy with cataplexy
G475,"Parasomnia, unspecified"
G476,Periodic limb movement disorder
G478,Other sleep disorders
G479,"Sleep disorder, unspecified"
G500,Trigeminal neuralgia
G501,Atypical facial pain
G508,Other disorders of trigeminal nerve
G509,"Disorder of trigeminal nerve, unspecified"
G510,Bell's palsy
G511,Geniculate ganglionitis
G512,Melkersson's syndrome
G513,"Clonic hemifacial spasm, right"
G514,Facial myokymia
G518,Other disorders of facial nerve
G519,"Disorder of facial nerve, unspecified"
G520,Disorders of olfactory nerve
G521,Disorders of glossopharyngeal nerve
G522,Disorders of vagus nerve
G523,Disorders of hypoglossal nerve
G527,Disorders of multiple cranial nerves
G528,Disorders of other specified cranial nerves
G529,"Cranial nerve disorder, unspecified"
G53,Cranial nerve disorders in diseases classified elsewhere
G540,Brachial plexus disorders
G541,Lumbosacral plexus disorders
G542,"Cervical root disorders, not elsewhere classified"
G543,"Thoracic root disorders, not elsewhere classified"
G544,"Lumbosacral root disorders, not elsewhere classified"
G545,Neuralgic amyotrophy
G546,Phantom limb syndrome with pain
G547,Phantom limb syndrome without pain
G548,Other nerve root and plexus disorders
G549,"Nerve root and plexus disorder, unspecified"
G55,Nerve root and plexus compressions in diseases classified elsewhere
G560,"Carpal tunnel syndrome, unspecified upper limb"
G561,"Other lesions of median nerve, unspecified upper limb"
G562,"Lesion of ulnar nerve, unspecified upper limb"
G563,"Lesion of radial nerve, unspecified upper limb"
G564,Causalgia of unspecified upper limb
G568,Other specified mononeuropathies of unspecified upper limb
G569,Unspecified mononeuropathy of unspecified upper limb
G570,"Lesion of sciatic nerve, unspecified lower limb"
G571,"Meralgia paresthetica, unspecified lower limb"
G572,"Lesion of femoral nerve, unspecified lower limb"
G573,"Lesion of lateral popliteal nerve, unspecified lower limb"
G574,"Lesion of medial popliteal nerve, unspecified lower limb"
G575,"Tarsal tunnel syndrome, unspecified lower limb"
G576,"Lesion of plantar nerve, unspecified lower limb"
G577,Causalgia of unspecified lower limb
G578,Other specified mononeuropathies of unspecified lower limb
G579,Unspecified mononeuropathy of unspecified lower limb
G580,Intercostal neuropathy
G587,Mononeuritis multiplex
G588,Other specified mononeuropathies
G589,"Mononeuropathy, unspecified"
G59,Mononeuropathy in diseases classified elsewhere
G600,Hereditary motor and sensory neuropathy
G601,Refsum's disease
G602,Neuropathy in association with hereditary ataxia
G603,Idiopathic progressive neuropathy
G608,Other hereditary and idiopathic neuropathies
G609,"Hereditary and idiopathic neuropathy, unspecified"
G610,Guillain-Barre syndrome
G611,Serum neuropathy
G618,Chronic inflammatory demyelinating polyneuritis
G619,"Inflammatory polyneuropathy, unspecified"
G620,Drug-induced polyneuropathy
G621,Alcoholic polyneuropathy
G622,Polyneuropathy due to other toxic agents
G628,Critical illness polyneuropathy
G629,"Polyneuropathy, unspecified"
G63,Polyneuropathy in diseases classified elsewhere
G64,Other disorders of peripheral nervous system
G650,Sequelae of Guillain-Barre syndrome
G651,Sequelae of other inflammatory polyneuropathy
G652,Sequelae of toxic polyneuropathy
G700,Myasthenia gravis without (acute) exacerbation
G701,Toxic myoneural disorders
G702,Congenital and developmental myasthenia
G708,"Lambert-Eaton syndrome, unspecified"
G709,"Myoneural disorder, unspecified"
G710,"Muscular dystrophy, unspecified"
G711,Myotonic muscular dystrophy
G712,"Congenital myopathy, unspecified"
G713,"Mitochondrial myopathy, not elsewhere classified"
G718,Other primary disorders of muscles
G719,"Primary disorder of muscle, unspecified"
G720,Drug-induced myopathy
G721,Alcoholic myopathy
G722,Myopathy due to other toxic agents
G723,Periodic paralysis
G724,Inclusion body myositis [IBM]
G728,Critical illness myopathy
G729,"Myopathy, unspecified"
G731,Lambert-Eaton syndrome in neoplastic disease
G733,Myasthenic syndromes in other diseases classified elsewhere
G737,Myopathy in diseases classified elsewhere
G800,Spastic quadriplegic cerebral palsy
G801,Spastic diplegic cerebral palsy
G802,Spastic hemiplegic cerebral palsy
G803,Athetoid cerebral palsy
G804,Ataxic cerebral palsy
G808,Other cerebral palsy
G809,"Cerebral palsy, unspecified"
G810,Flaccid hemiplegia affecting unspecified side
G811,Spastic hemiplegia affecting unspecified side
G819,"Hemiplegia, unspecified affecting unspecified side"
G822,"Paraplegia, unspecified"
G825,"Quadriplegia, unspecified"
G830,Diplegia of upper limbs
G831,Monoplegia of lower limb affecting unspecified side
G832,Monoplegia of upper limb affecting unspecified side
G833,"Monoplegia, unspecified affecting unspecified side"
G834,Cauda equina syndrome
G835,Locked-in state
G838,Brown-Sequard syndrome
G839,"Paralytic syndrome, unspecified"
G890,Central pain syndrome
G891,Acute pain due to trauma
G892,Chronic pain due to trauma
G893,Neoplasm related pain (acute) (chronic)
G894,Chronic pain syndrome
G900,Carotid sinus syncope
G901,Familial dysautonomia [Riley-Day]
G902,Horner's syndrome
G903,Multi-system degeneration of the autonomic nervous system
G904,Autonomic dysreflexia
G905,"Complex regional pain syndrome I, unspecified"
G908,Other disorders of autonomic nervous system
G909,"Disorder of the autonomic nervous system, unspecified"
G910,Communicating hydrocephalus
G911,Obstructive hydrocephalus
G912,(Idiopathic) normal pressure hydrocephalus
G913,"Post-traumatic hydrocephalus, unspecified"
G914,Hydrocephalus in diseases classified elsewhere
G918,Other hydrocephalus
G919,"Hydrocephalus, unspecified"
G920,"Immune effector cell-associated neurotoxicity syndrome, grade unspecified"
G928,Other toxic encephalopathy
G929,Unspecified toxic encephalopathy
G930,Cerebral cysts
G931,"Anoxic brain damage, not elsewhere classified"
G932,Benign intracranial hypertension
G933,Postviral fatigue syndrome
G934,"Encephalopathy, unspecified"
G935,Compression of brain
G936,Cerebral edema
G937,Reye's syndrome
G938,Temporal sclerosis
G939,"Disorder of brain, unspecified"
G94,Other disorders of brain in diseases classified elsewhere
G950,Syringomyelia and syringobulbia
G951,Acute infarction of spinal cord (embolic) (nonembolic)
G952,Unspecified cord compression
G958,Conus medullaris syndrome
G959,"Disease of spinal cord, unspecified"
G960,"Cerebrospinal fluid leak, unspecified"
G961,Dural tear
G968,"Intracranial hypotension, unspecified"
G969,"Disorder of central nervous system, unspecified"
G970,Cerebrospinal fluid leak from spinal puncture
G971,Other reaction to spinal and lumbar puncture
G972,Intracranial hypotension following ventricular shunting
G973,Intraoperative hemorrhage and hematoma of a nervous system organ or structure complicating a nervous system procedure
G974,Accidental puncture or laceration of dura during a procedure
G975,Postprocedural hemorrhage of a nervous system organ or structure following a nervous system procedure
G976,Postprocedural hematoma of a nervous system organ or structure following a nervous system procedure
G978,Other intraoperative complications of nervous system
G980,"Neurogenic arthritis, not elsewhere classified"
G988,Other disorders of nervous system
G990,Autonomic neuropathy in diseases classified elsewhere
